title,year
Bancando o Águia,(1924)
Relatos Selvagens,(2014)
A Mulher Faz o Homem,(1939)
Mad Max: Estrada da Fúria,(2015)
Sociedade dos Poetas Mortos,(1989)
Mary e Max: Uma Amizade Diferente,(2009)
Monstros S.A.,(2001)
Como Treinar o Seu Dragão,(2010)
Tubarão,(1975)
O Sétimo Selo,(1957)
O Quarto de Jack,(2015)
Era uma Vez em Tóquio,(1953)
O Grande Lebowski,(1998)
Ford vs Ferrari,(2019)
O Martírio de Joana D'Arc,(1928)
Hotel Ruanda,(2004)
Ratatouille,(2007)
Rocky: Um Lutador,(1976)
Platoon,(1986)
Logan,(2017)
Spotlight: Segredos Revelados,(2015)
O Exterminador do Futuro,(1984)
Jai Bhim,(2021)
Antes do Pôr do Sol,(2004)
Rush: No Limite da Emoção,(2013)
Rede de Intrigas,(1976)
Conta Comigo,(1986)
Os Melhores Anos de Nossa Vida,(1946)
Na Natureza Selvagem,(2007)
O Mágico de Oz,(1939)
O Ódio,(1995)
Os Incríveis,(2004)
O Exorcista,(1973)
Piratas do Caribe: A Maldição do Pérola Negra,(2003)
Ser ou Não Ser,(1942)
Feitiço do Tempo,(1993)
Meu Pai e Meu Filho,(2005)
A Batalha de Argel,(1966)
As Vinhas da Ira,(1940)
Sempre ao Seu Lado,(2009)
A Criada,(2016)
A Canção da Estrada,(1955)
Amores Brutos,(2000)
"Rebecca, a Mulher Inesquecível",(1940)
Rebeldia Indomável,(1967)
A Noviça Rebelde,(1965)
Aconteceu Naquela Noite,(1934)
Os Incompreendidos,(1959)
Quando Duas Mulheres Pecam,(1966)
Histórias Cruzadas,(2011)
O Gigante de Ferro,(1999)
A Vida de Brian,(1979)
Aladdin,(1992)
A Chantagem,(2015)
